category,CentralDistrict2,CentralDistrict3,CentralDistrict4,CentralDistrict5,CentralDistrict6,ColumbiaCity1,ColumbiaCity2,ColumbiaCity3,ColumbiaCity4,ColumbiaCity5,Laurelhurst1,Laurelhurst2,Laurelhurst3,Laurelhurst4,Laurelhurst5,Laurelhurst6,Montlake2,Montlake4,Montlake5,Montlake6,Northgate1,Northgate2,Northgate3,Northgate4,Northgate5,Phinney-Green1,Phinney-Green2,Phinney-Green3,Phinney-Green4,Phinney-Green5,QueenAnne1,QueenAnne2,QueenAnne3,QueenAnne4,QueenAnne5,Ravenna1,Ravenna2,Ravenna3,Ravenna4,Ravenna5
Null,0,120.6004832,80.71937103,0,0,0,0,12.74516385,112.0731763,0,18.33649174,0,89.21614693,16.47067328,90.40569556,22.7023231,0,0,41.72570564,0,208.6285282,84.75533959,43.91107232,20.86285282,20.86285282,0,23.99490583,140.5397631,187.7015039,49.41201984,114.1161703,69.34492164,58.67683732,27.39575914,59.3285701,0,0,31.58584084,0,70.58859977
Poetry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95106792,0,0,25.6402708,0,0,0,0,0,0,0,0,10.42786133,0,0,0,0,0,0,15.28270586,28.44934476,0,0,0
Reference,0,0,0,0,0,0,15.966469,0,0,0,0,0,0,0,0,0,0,0,20.86285282,0,0,0,2.352378874,0,20.86285282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Religion,0,17.22864046,40.35968552,0,20.54674899,17.43974408,0,12.74516385,0,0,0,0,0,0,18.08113911,22.7023231,0,0,0,0,62.58855846,84.75533959,1.568252583,0,20.86285282,0,4.798981166,7.396829637,20.85572266,16.47067328,0,0,0,0,8.475510014,15.28270586,0,0,0,0
Romance,0,0,26.90645701,0,0,0,0,0,44.82927053,0,36.67298347,0,0,0,0,0,0,0,0,0,0,0,1.568252583,0,0,24.76617066,9.597962331,0,20.85572266,0,0,0,14.66920933,54.79151827,0,0,227.5947581,15.79292042,0,0
Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784126291,0,0,0,0,0,0,0,0,0,0,0,0,0,28.44934476,15.79292042,0,0
SciFi/Fantasy,0,0,40.35968552,0,0,17.43974408,15.966469,12.74516385,89.65854105,0,0,18.55392049,59.47743129,0,0,0,0,0,0,51.2805416,0,0,7.841262914,20.86285282,0,0,4.798981166,14.79365927,31.28358399,49.41201984,0,0,44.00762799,54.79151827,16.95102003,91.69623516,113.797379,63.17168168,40.22003263,105.8828997
Self Help/Health,21.01372056,0,26.90645701,26.97782692,20.54674899,34.87948816,63.86587598,0,0,28.15402284,55.00947521,9.276960247,0,0,0,45.40464621,50.85320375,50.85320375,62.58855846,0,0,0,5.48888404,62.58855846,20.86285282,24.76617066,28.79388699,81.365126,10.42786133,49.41201984,0,0,0,27.39575914,16.95102003,0,0,15.79292042,0,35.29429989
Sports,0,0,13.45322851,0,0,0,0,0,0,0,0,0,0,16.47067328,0,0,0,16.95106792,20.86285282,0,0,0,5.48888404,0,0,0,0,7.396829637,0,0,0,0,0,0,8.475510014,0,0,15.79292042,0,0
Thriller/Suspense,42.02744112,51.68592137,40.35968552,0,0,34.87948816,15.966469,12.74516385,0,28.15402284,18.33649174,18.55392049,0,16.47067328,0,0,0,16.95106792,20.86285282,25.6402708,83.45141129,63.56650469,3.920631457,41.72570564,20.86285282,0,4.798981166,14.79365927,62.56716798,65.88269312,45.6464681,11.55748694,44.00762799,109.5830365,8.475510014,15.28270586,56.89868951,0,20.11001631,17.64714994
Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47067328,0,22.7023231,0,0,41.72570564,0,0,0,0.784126291,0,0,0,0,14.79365927,0,16.47067328,0,0,0,0,0,0,0,15.79292042,0,0
