cataloger,bookid,count,title,author,combinedName,authorOfColor,nonPersonAuthor,yrpub,neighborhood,collection,age,type,category1,category2,publication,media,summary,deweywording,subjects,deweydec,languages,originalLang,lcclassification,isbn
H,168006944,1,The Soprano Sorceress: The First Book of the Spellsong Cycle,"Modesitt Jr., L. E.",L. E. Modesitt Jr.,0,0,1998,Northgate,Northgate3,Adult,Fiction,SciFi/Fantasy,Null,"Tor Fantasy (1998), 672 pages",Paperback,The Soprano Sorceress: The First Book of the Spellsong Cycle by L. E. Modesitt Jr. (1998),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Fantasy fiction|Magicians > Fiction|Marshall, Anna (Fictitious character) > Fiction|Music and magic > Fiction|Musical fiction|Women music teachers > Fiction|Women singers > Fiction|fantasy fiction",813.54,English,English,PS3563 .O264,[0812545591]
H,168006960,1,The Magic Engineer ( A novel in The saga of Recluce),"Modesitt Jr., L. E.",L. E. Modesitt Jr.,0,0,1995,Northgate,Northgate3,Adult,Fiction,SciFi/Fantasy,Null,"Tor Fantasy (1995), 624 pages",Paperback,The Magic Engineer ( A novel in The saga of Recluce) by L. E. Modesitt Jr. (1995),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Fantasy fiction|Recluce (Imaginary place) > Fiction|fantasy fiction,813.54,English,English,PS3563 .O264,[0812534050]
A,168541750,1,The Weapons Makers (special edition-boxed),"Van Vogt, A. E.",A. E. Van Vogt,0,0,1975,Phinney-Greenwood,Phinney-Green3,Adult,Nonfiction,History,Null,"Southgate Press Inc. (1975), 224 pages",Hardcover,The Weapons Makers (special edition-boxed) by A. E. Van Vogt (1975),,,,English,,,
H,170345405,1,The Joy of Photography,The Editors of Eastman Kodak Company,The Editors of Eastman Kodak Company,0,1,1983,Montlake,Montlake4,Adult,Nonfiction,Art,Null,"Addison-Wesley (1983), Edition: 1st, 302 pages",Paperback,The Joy of Photography by The Editors of Eastman Kodak Company (1983),Arts and Recreation > Photography > Photography,Photography,770,English,English,TR146 .J69,[020103915X]
H,168741220,1,"Reader's Digest Condensed Books Volume 1 1989 (A Gift of Life, Daddy, Norman Rockwell's Greatest Painting, Murder in the Oval Office) - Hardcover (1989) by various","Loup Durand, Hollis Hodges & Elliott Roosevelt Henry Denker","Hollis Hodges, Loup Durand, Elliott Roosevelt Henry Denker",0,0,1989,Central District,CentralDistrict2,Adult,Fiction,Anthology/Essays/Short stories,Null,"Readers Digest Association (1989), Edition: First edition. Stated first edition, 574 pages",Hardcover,"Reader's Digest Condensed Books Volume 1 1989 (A Gift of Life, Daddy, Norman Rockwell's Greatest Painting, Murder in the Oval Office) - Hardcover (1989) by various by Hollis Hodges & Elliott Roosevelt Henry Denker Loup Durand (1989)",,,,English,,,
A,167770370,1,Teenage Ninja Turtles: Skateboard Heroes!,Editors of Publications International,Editors of Publications International,0,1,2014,Queen Anne,QueenAnne3,Childrens,Fiction,Null,Null,"PUBNI (2014), 12 pages",Board book,Teenage Ninja Turtles: Skateboard Heroes! by Editors of Publications International (2014),,,,English,,,[1450884539]
H,170345529,1,"KAPLA, WORKSHOPS FOR ADULTS, VOL 22","Van Der Bruggen, Johanna",Johanna Van Der Bruggen,0,0,2005,Montlake,Montlake4,Adult,Nonfiction,Crafts,Null,T.V. D.B. (2005),Hardcover,"KAPLA, WORKSHOPS FOR ADULTS, VOL 22 by Johanna Van Der Bruggen (2005)",,,,,,,[9954046658]
H,170345352,1,Spud,"Van de Ruit, John",John Van de Ruit,0,0,2008,Montlake,Montlake4,Young Adult,Fiction,Novel,Null,"Razorbill (2008), Edition: Reprint, 336 pages",Paperback,Spud by John Van de Ruit (2008),21st Century > English > Fiction > Literature > Modern Period,Boarding schools > Fiction|Boarding schools > Juvenile fiction|Boarding schools > South Africa > Fiction|Choirboys > Fiction|Choirboys > Juvenile fiction|Diaries > Fiction|Diaries > Juvenile fiction|Family > South Africa > Juvenile fiction|Family life > South Africa > Fiction|Humorous Stories|Humorous stories|Private schools > South Africa > Fiction|Schools > Fiction|Schools > Juvenile Fiction|Schools > Juvenile fiction|Schools > fiction|South Africa > Fiction|South Africa > Juvenile fiction|Teenage boys > South Africa > Fiction|humorous stories,823.92,English,English,PZ7 .V28396,[1595141871]
H,168635070,1,Hold the rein free,"Van der Veer, Judy",Judy Van der Veer,0,0,1968,Central District,CentralDistrict3,Young Adult,Fiction,Novel,Null,"Scholastic Book Services (1968), Edition: Soft Cover",Paperback,Hold the rein free by Judy Van der Veer (1968),,,,,,PZ7 .V2842,
H,168221087,1,Time America: An Illustrated History,Editors of Time Magazine,Magazine Editors of Time,0,1,2007,Columbia City,ColumbiaCity1,Adult,Nonfiction,History,Null,"Time (2007), Edition: 10.11.2007, 266 pages",Hardcover,Time America: An Illustrated History by Editors of Time Magazine (2007),Biography and History > Chronologies > Miscellany > North America > United States,,973.022,English,English,E178.5 .A53,[1933821248]
H,168220965,1,A Canticle for Leibowitz,"Jr., Walter M. Miller",Walter M. Miller Jr.,0,0,1984,Columbia City,ColumbiaCity1,Adult,Fiction,SciFi/Fantasy,Null,"Bantam Spectra (1984), Edition: ., 368 pages",Paperback,A Canticle for Leibowitz by Walter M. Miller Jr. (1984),1945-1999 > 20th Century > American And Canadian > Fiction > Literature ,"Fiction in English|Science Fiction|Science Fiction, American|Science fiction|Science fiction, American|fiction in English|science fiction",813.54,English,English,PS3563 .I4215,[0553273817]
A,167762854,1,"Chronic Fatigue Syndrome: Your Natural Guide to Healing with Diet, Vitamins, Minerals, Herbs, Exercise, an d Other Natural Methods (Getting Well Naturally)","D., Michael T. Murray N.",Michael T. Murray,0,0,1994,Queen Anne,QueenAnne4,Adult,Nonfiction,Self Help/Health,Null,"Harmony (1994), 208 pages",Paperback,"Chronic Fatigue Syndrome: Your Natural Guide to Healing with Diet, Vitamins, Minerals, Herbs, Exercise, an d Other Natural Methods (Getting Well Naturally) by Michael T. Murray N. D. (1994)",Medicine > Pathology; Diseases; Treatment > Pathology; Diseases; Treatment  > Technology,,616.047,English,English,RB150 .F37,[1559584904]
A,167760605,1,A Feast for Crows: A Song of Ice and Fire (Game of Thrones),"Martin, George R. R.",George R. R. Martin,0,0,2006,Queen Anne,QueenAnne3,Adult,Fiction,SciFi/Fantasy,SciFi/Fantasy,"Bantam (2006), 1104 pages",Paperback,A Feast for Crows: A Song of Ice and Fire (Game of Thrones) by George R. R. Martin (2006),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Fantasy fiction|Seven Kingdoms (Imaginary place) > Fiction|fantasy fiction,813.54,English,English,PS3563 .A7239,[9780553582024]
A,170373401,1,The Queen of Zamba,"De Camp, L. Sprague",L. Sprague De Camp,0,0,1977,Ravenna,Ravenna3,Adult,Fiction,SciFi/Fantasy,Novel,"New York : Davis Publications, 1977.",Paper Book,The Queen of Zamba by L. Sprague De Camp (1977),1900-1944 > 20th Century > American And Canadian > Fiction > Literature,,813.52,English,English,PZ3.D3555,[0895590069]
H,170345254,1,Guide to Ecg Analysis,"D Catalano, Joseph T. , Ph.",Joseph T. Catalano,0,0,1993,Montlake,Montlake4,Adult,Nonfiction,Self Help/Health,Null,"J.P. Lippincott (1993), Edition: 1st, 408 pages",Paperback,"Guide to Ecg Analysis by Joseph T. D Catalano, Ph. (1993)",Diseases of circulatory system > Medicine > Pathology; Diseases; Treatment  > Technology,,616.1,,English,RC683.5 .E5,[0397550154]
H,170345461,1,"The Ugly American by William J. Lederer (June 19,1958)","Lederer, Eugene Burdick William J.","Eugene Lederer, William Burdick",0,0,1958,Montlake,Montlake4,Adult,Fiction,Novel,Null,Norton (1958),Hardcover,"The Ugly American by William J. Lederer (June 19,1958) by Eugene Burdick William J. Lederer (1958)",,,,,,,
H,168008140,1,The Story of Drinking Water,"Association, American Water Works",American Water Works Association,0,1,2011,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"American Water Works Assn (2011), 24 pages",Paperback,The Story of Drinking Water by American Water Works Association (2011),Earth sciences & geology > Mathematics and Science > Physical and Dynamic Geology ,,551,English,English,,[1583218122]
H,168007117,1,Knight Errant (War of the Roses),"Robertson, R. Garcia y",R. Garcia y Robertson,0,0,2003,Northgate,Northgate3,Adult,Fiction,Novel,History,"Forge Books (2003), Edition: 1st, 560 pages",Paperback,Knight Errant (War of the Roses) by R. Garcia y Robertson (2003),American And Canadian > Fiction > Literature,"Americans > England > Fiction|Fantasy fiction|Great Britain > History > Wars of the Roses, 1455-1485 > Fiction|Historical Fiction|Historical fiction|Knights and knighthood > Fiction|Love Stories|Love stories|Time travel > Fiction|fantasy fiction|historical fiction",813,English,English,PS3557 .A71125,[0765344912]
H,168006943,1,White Rose (War of the Roses),"Robertson, R. Garcia y",R. Garcia y Robertson,0,0,2005,Northgate,Northgate3,Adult,Fiction,Novel,Null,"Tor Books (2005), Edition: 1st, 432 pages",Paperback,White Rose (War of the Roses) by R. Garcia y Robertson (2005),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Americans > England > Fiction|Fantasy fiction|Great Britain > History > Wars of the Roses, 1455-1485 > Fiction|Historical Fiction|Historical fiction|Love stories|Time travel > Fiction|Women motion picture producers and directors > Fiction|fantasy fiction|historical fiction",813.54,English,English,PS3557 .A71125 W47,[0812589580]
H,168007654,1,Lady Robyn (War of the Roses),"Robertson, R. Garcia y",R. Garcia y Robertson,0,0,2004,Northgate,Northgate3,Adult,Fiction,SciFi/Fantasy,Null,"Tor Books (2004), Edition: Reprint, 432 pages",Paperback,Lady Robyn (War of the Roses) by R. Garcia y Robertson (2004),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Americans > England > Fiction|Fantasy fiction|Great Britain > History > Wars of the Roses, 1455-1485 > Fiction|Historical Fiction|Historical fiction|Love stories|Time travel > Fiction|fantasy fiction|historical fiction",813.54,English,English,PS3557 .A71125,[0765345730]
H,168635617,1,The Painted Queen: An Amelia Peabody Novel of Suspense (Amelia Peabody Series),"Peters, Elizabeth",Elizabeth Peters,0,0,2018,Central District,CentralDistrict4,Adult,Fiction,Thriller/Suspense,Null,"William Morrow (2018), 464 pages",Paperback,The Painted Queen: An Amelia Peabody Novel of Suspense (Amelia Peabody Series) by Elizabeth Peters (2018),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3563 .E747,[0062086340]
A,168422715,1,Mother Earth Father Sky,"Harrison, Sue",Sue Harrison,0,0,1991,Laurelhurst,Laurelhurst2,Adult,Fiction,Cultural Studies,Null,"Avon (1991), Edition: Reissue, 416 pages",Paperback,Mother Earth Father Sky by Sue Harrison (1991),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Earth > Juvenile poetry|Earth > Poetry|Historical Fiction|Historical fiction|Indians of North America > Fiction|Large Type Books|Large type books|Nature > Juvenile poetry|Nature > Poetry|Poetry > Collections|Prehistoric peoples > Fiction|historical fiction,813.54,English,English,PS3558 .A67194,[0380715929]
H,168248490,1,World Report 2019: Events of 2018 (World Report (Human Rights Watch)),"Watch, Human Rights",Human Rights Watch,0,0,2019,Central District,CentralDistrict1,Adult,Nonfiction,Cultural Studies,Null,"Seven Stories Press (2019), 656 pages",Paperback,World Report 2019: Events of 2018 (World Report (Human Rights Watch)) by Human Rights Watch (2019),,,,English,English,,[1609808843]
H,168248487,1,River of Darkness,"Grady, James",James Grady,0,0,1992,Central District,CentralDistrict1,Adult,Fiction,Novel,Null,"Warner Books (1992), Edition: First Edition, 448 pages",Paperback,River of Darkness by James Grady (1992),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3557 .R122,[0446363642]
H,168248492,1,The Shack: Where Tragedy Confronts Eternity,"Young, William P.",William P. Young,0,0,2007,Central District,CentralDistrict1,Adult,Fiction,Religion,Null,"Windblown Media (2007), Edition: 1st, 256 pages",Paperback,The Shack: Where Tragedy Confronts Eternity by William P. Young (2007),21st Century > American And Canadian > Fiction > Literature,Life change events > Fiction|Missing children > Fiction|Oregon > Fiction|Religious fiction|Suspense fiction,813.6,English,English,PR9199.4 .Y696,[0964729237]
H,168248483,1,Pressure Point,"Couch, Dick",Dick Couch,0,0,2006,Central District,CentralDistrict1,Adult,Fiction,Thriller/Suspense,Novel,"Pocket Star (2006), 448 pages",Paperback,Pressure Point by Dick Couch (2006),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3553 .O769,[0743464265]
H,168741203,1,"Reader's Digest Condensed Books Volume 2 1990: Straight, No Roof But Heaven, The Evening News, The Courtship of Peggy McCoy","Francis, Dick",Dick Francis,0,0,1990,Central District,CentralDistrict2,Adult,Fiction,Anthology/Essays/Short stories,Null,"Reader's Digest Assoc (1990), Edition: 1st, 575 pages",Hardcover,"Reader's Digest Condensed Books Volume 2 1990: Straight, No Roof But Heaven, The Evening News, The Courtship of Peggy McCoy by Dick Francis (1990)",,,,English,,,
H,168741285,1,"Reader's Digest Today's Nonfiction Best Sellers: A Bag Of Marbles, The Glory And The Dream, The Bermuda Triangle, Among The Elephants.",0,null,0,0,1975,Central District,CentralDistrict2,Adult,Fiction,Anthology/Essays/Short stories,Null,"Readers Digest (1975), Edition: First, 575 pages",Hardcover,"Reader's Digest Today's Nonfiction Best Sellers: A Bag Of Marbles, The Glory And The Dream, The Bermuda Triangle, Among The Elephants. (1975)",,,,English,,,
H,168634545,1,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry,"Benioff, Marc",Marc Benioff,0,0,2009,Central District,CentralDistrict2,Adult,Nonfiction,Business/Technology,Null,"Wiley-Blackwell (2009), Edition: 1, 304 pages",Hardcover,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-and Revolutionized an Industry by Marc Benioff (2009),Business > Management > Of Marketing > Technology,,658.8,English,English,HF5415.5 .B443,[9780470521168]
H,168634486,1,Ragged Company,"Wagamese, Richard",Richard Wagamese,1,0,2009,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"Anchor Canada (2009), Edition: 1st, 384 pages",Paperback,Ragged Company by Richard Wagamese (2009),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PR9199.3 .W316,[9780385256940]
H,168634491,1,Beach House Memories (The Beach House),"Monroe, Mary Alice",Mary Alice Monroe,0,0,2018,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"Pocket Books (2018), Edition: Media Tie In, 496 pages",Paperback,Beach House Memories (The Beach House) by Mary Alice Monroe (2018),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3563 .O529,[1439171017]
H,168634504,1,Of Love and Shadows,"Allende, Isabel",Isabel Allende,1,0,1988,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"Bantam (1988), Edition: later printing, 304 pages",Paperback,Of Love and Shadows by Isabel Allende (1988),Literature > Spanish And Portuguese > Spanish fiction,,863,English,English,PQ8098.1 .L54,[0553273604]
H,168634508,1,The Search,"Roberts, Nora",Nora Roberts,0,0,2011,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"Berkley (2011), Edition: Reprint, 480 pages",Paperback,The Search by Nora Roberts (2011),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3568 .O243,[9780515149487]
H,168634510,1,Until You Loved Me: A Novel (Silver Springs),"Novak, Brenda",Brenda Novak,0,0,2017,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"MIRA (2017), Edition: Original, 400 pages",Paperback,Until You Loved Me: A Novel (Silver Springs) by Brenda Novak (2017),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,,[0778330257]
H,168634515,1,Blue-Eyed Devil: A Novel (The Travis Family),"Kleypas, Lisa",Lisa Kleypas,0,0,2009,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"St. Martin's Paperbacks (2009), Edition: Reprint, 352 pages",Paperback,Blue-Eyed Devil: A Novel (The Travis Family) by Lisa Kleypas (2009),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Love stories|Rich people > Fiction|Texas > Fiction,813.54,English,English,PS3561 .L456,[0312351658]
H,168634519,1,Texas! Lucky: A Novel (Texas! Tyler Family Saga),"Brown, Sandra",Sandra Brown,0,0,1991,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"Bantam (1991), Edition: Reissue, 336 pages",Paperback,Texas! Lucky: A Novel (Texas! Tyler Family Saga) by Sandra Brown (1991),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Love Stories|Love stories|Texas > Fiction|Western stories,813.54,English,English,PS3552 .R718,[0553289519]
H,168634534,1,The Three Weissmanns of Westport: A Novel,"Schine, Cathleen",Cathleen Schine,0,0,2010,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"Sarah Crichton Books (2010), Edition: 1, 304 pages",Hardcover,The Three Weissmanns of Westport: A Novel by Cathleen Schine (2010),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3569 .C497,[0374299048]
H,168634663,1,A Home at the End of the World: A Novel,"Cunningham, Michael",Michael Cunningham,0,0,1998,Central District,CentralDistrict2,Adult,Fiction,Novel,Null,"Picador (1998), Edition: First, 352 pages",Paperback,A Home at the End of the World: A Novel by Michael Cunningham (1998),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Domestic Fiction|Domestic fiction|Gay men > Fiction|Love Stories|Love stories|Male friendship > Fiction|New York (State) > Fiction|Parent and child > Fiction|Triangles (Interpersonal relations) > Fiction,813.54,English,English,PS3553 .U484,[9780312202316]
H,168634524,1,365 Ways to Improve Your Sex Life: From the Files of the Playboy Advisor,"Petersen, Jim",Jim Petersen,0,0,1996,Central District,CentralDistrict2,Adult,Nonfiction,Self Help/Health,Null,"Plume (1996), 320 pages",Paperback,365 Ways to Improve Your Sex Life: From the Files of the Playboy Advisor by Jim Petersen (1996),Health; Hygiene  > Hygiene of Offspring; Heredity > Medicine > Technology,,613.96,English,English,,[0452275768]
H,168634495,1,Deadly Stakes (Ali Reynolds),"Jance, J. A.",J. A. Jance,0,0,2013,Central District,CentralDistrict2,Adult,Fiction,Thriller/Suspense,Null,"Pocket Books (2013), Edition: 1st Pocket Books paperback edition, 384 pages",Paperback,Deadly Stakes (Ali Reynolds) by J. A. Jance (2013),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3560 .A44,[1451628692]
H,168634683,1,The Da Vinci Code,"Brown, Dan",Dan Brown,0,0,2003,Central District,CentralDistrict2,Adult,Fiction,Thriller/Suspense,Null,"Doubleday (2003), Edition: 1st, 454 pages",Hardcover,The Da Vinci Code by Dan Brown (2003),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,FALSE,813.54,English,English,PS3552 .R685434,[0385504209]
H,168634886,1,Coming to My Senses: The Making of a Counterculture Cook,"Waters, Alice",Alice Waters,0,0,2018,Central District,CentralDistrict3,Adult,Nonfiction,Biography/Autobiography/Memoir,Cookery,"Clarkson Potter (2018), Edition: Reprint, 320 pages",Paperback,Coming to My Senses: The Making of a Counterculture Cook by Alice Waters (2018),> > Biography > Biography And History > Cooking > Food And Drink > Home Economics > Technology,,641.5092,English,English,,[0307718298]
H,168634879,1,A WOMAN IN CHARGE: The Life of Hillary Rodham Clinton,"Bernstein, Carl",Carl Bernstein,0,0,2008,Central District,CentralDistrict3,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,"Vintage Books (2008), Edition: 1st, 638 pages",Paperback,A WOMAN IN CHARGE: The Life of Hillary Rodham Clinton by Carl Bernstein (2008),Biography > Biography And History > North America > Political Science  > Social Sciences > The legislative process > United States,"Clinton, Hillary Rodham|Legislators > United States > Biography|Presidential candidates > United States > Biography|Presidents' spouses > United States > Biography|Presidents\' spouses > United States > Biography|United States. Congress. Senate > Biography|Women legislators > United States > Biography|Women presidential candidates > United States > Biography",328.73092,English,English,E887 .C55,[9780307388551]
H,168634882,1,At the Center of the Storm: My Years at the CIA,"Tenet, George",George Tenet,0,0,2007,Central District,CentralDistrict3,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,"Harper Collins (2007), 549 pages",Hardcover,At the Center of the Storm: My Years at the CIA by George Tenet (2007),Espionage and subversion > Foreign policy and specific topics in international relations > International Relations > North America > Political Science  > Social Sciences > United States,"Intelligence officers > United States > Biography|Intelligence service > United States|Tenet, George J., 1953-|Tenet, George, 1953-|United States > Foreign relations > 1993-2001|United States > Foreign relations > 2001-|United States. Central Intelligence Agency > Officials and employees > Biography",327.1273009,English,English,JK468 .I6,[0061147788]
H,168741375,1,Mundane Journeys Field Guide To Color,0,null,0,0,2007,Central District,CentralDistrict3,Adult,Nonfiction,Crafts,Null,"(2007), 64 pages",Paperback,Mundane Journeys Field Guide To Color (2007),,,,,,,
H,168634913,1,The Betrayal of Work: How Low-Wage Jobs Fail 30 Million Americans,"Shulman, Beth",Beth Shulman,0,0,2005,Central District,CentralDistrict3,Adult,Nonfiction,Cultural Studies,Null,"The New Press (2005), Edition: Revised, 255 pages",Paperback,The Betrayal of Work: How Low-Wage Jobs Fail 30 Million Americans by Beth Shulman (2005),Bases of wages and methods of payment > Capital; Labor; Wages > Compensation and other conditions of employment > Economics > Social Sciences,,331.23,English,English,HD4975 .S46,[159558000X]
H,168634881,1,A Case Of Need,"Crichton, Michael",Michael Crichton,0,0,1993,Central District,CentralDistrict3,Adult,Fiction,Mystery,Null,"Dutton (1993), 319 pages",Hardcover,A Case Of Need by Michael Crichton (1993),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Abortion > Fiction|Abortion > fiction|Detective and mystery stories|Large Type Books|Large type books|Medical novels|Physicians > Fiction,813.54,English,English,PS3553 .R48,[0525938028]
H,168634911,1,Ticktock,"Koontz, Dean",Dean Koontz,0,0,1997,Central District,CentralDistrict3,Adult,Fiction,Mystery,Null,"Ballantine Books (1997), Edition: Abridged edition, 352 pages",Paperback,Ticktock by Dean Koontz (1997),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"California, Southern > Fiction|Detective and mystery stories, American|Horror Tales|Horror tales|Large Type Books|Large print books|Large type books|horror tales",813.54,English,English,PS3561 .O55 T53,[034538430X]
H,168634915,1,STAKED GOAT,"Healy, Jeremiah",Jeremiah Healy,0,0,1991,Central District,CentralDistrict3,Adult,Fiction,Mystery,Null,"Pocket (1991), Edition: First Pocket Books Printing, 10 pages",Paperback,STAKED GOAT by Jeremiah Healy (1991),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Boston (Mass.) > Fiction|Cuddy, John Francis (Fictitious character) > Fiction|Detective and mystery stories|Private investigators > Boston > Fiction",813.54,English,English,PS3558 .E2347,[0671742841]
H,168635086,1,The Big Drop and Other Cliff Hardy Stories,"Corris, Peter",Peter Corris,0,0,1986,Central District,CentralDistrict3,Adult,Fiction,Mystery,Null,"HarperCollins Publishers Ltd (1986), Edition: paperback / softback, 224 pages",Paperback,The Big Drop and Other Cliff Hardy Stories by Peter Corris (1986),American And Canadian > Fiction > Literature,"Detective and mystery stories, Australian",813,English,English,PR8259 .O77,[0048200247]
